Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movement,Measure,Repeated
0,0,1880.816326530612,1880.816326530612,0,0,.,x,x,.
0,1880.816326530612,1904.0362811791383,23.219954648526254,0.5,3/4,.,1,1,0
F♯5,1904.0362811791383,3181.1337868480723,1277.097505668934,0.5,3/4,x,1,1,0
F♯5,3181.1337868480723,3204.3537414965986,23.219954648526254,1.5,3/4,x,1,2,0
C♯5,3204.3537414965986,3413.3333333333335,208.97959183673493,0.5,3/4,x,1,2,0
A4,3413.3333333333335,3552.6530612244896,139.31972789115616,0.5,3/4,x,1,2,0
C♯5,3552.6530612244896,3831.2925170068024,278.6394557823128,0.5,3/4,x,1,2,0
F♯4,3831.2925170068024,4156.371882086168,325.0793650793653,0.5,3/4,x,1,3,0
A4,4156.371882086168,4318.91156462585,162.53968253968196,0.5,3/4,x,1,3,0
C♯5,4318.91156462585,4736.8707482993195,417.95918367346985,0.5,3/4,x,1,3,0
F♯5,4736.8707482993195,4760.090702947846,23.219954648526254,0.5,3/4,x,1,3,0
A5,4760.090702947846,5085.1700680272115,325.07936507936574,0.5,3/4,x,1,3,0
F♯5,5085.1700680272115,5131.609977324263,46.4399092970516,0.5,3/4,x,1,3,0
B4,5131.609977324263,5433.469387755103,301.8594104308395,0.5,3/4,x,1,4,0
D5,5433.469387755103,5596.009070294785,162.53968253968196,0.5,3/4,x,1,4,0
F♯5,5596.009070294785,5781.768707482994,185.75963718820913,0.5,3/4,x,1,4,0
B5,5781.768707482994,6083.628117913832,301.8594104308386,0.5,3/4,x,1,4,0
D6,6083.628117913832,6339.047619047619,255.41950113378698,0.5,3/4,x,1,4,0
B5,6339.047619047619,6478.367346938776,139.31972789115662,0.5,3/4,x,1,4,0
E♯4,6478.367346938776,6733.786848072563,255.41950113378698,0.5,3/4,x,1,5,0
G♯4,6733.786848072563,6896.326530612245,162.53968253968196,0.5,3/4,x,1,5,0
C♯5,6896.326530612245,7291.065759637188,394.7392290249436,0.5,3/4,x,1,5,0
E♯5,7291.065759637188,7314.285714285714,23.219954648525345,0.5,3/4,x,1,5,0
G♯5,7314.285714285714,7592.925170068027,278.63945578231323,0.5,3/4,x,1,5,0
B4,7592.925170068027,7778.684807256236,185.75963718820913,0.5,3/4,x,1,5,0
A4,7778.684807256236,8010.884353741498,232.19954648526164,0.5,3/4,x,1,6,0
F♯5,8010.884353741498,8103.764172335602,92.87981859410411,0.5,3/4,x,1,6,0
G♯4,8103.764172335602,8475.283446712017,371.5192743764155,0.5,3/4,x,1,6,0
F♯5,8475.283446712017,8661.043083900227,185.75963718821004,0.5,3/4,x,1,6,0
C♯5,8661.043083900227,8870.022675736962,208.97959183673447,0.5,3/4,x,1,6,0
E♯5,8870.022675736962,9125.442176870749,255.41950113378698,0.5,3/4,x,1,6,0
F♯4,9125.442176870749,9798.820861678005,673.3786848072559,1.0,3/4,x,1,7,0
0,9798.820861678005,10054.240362811792,255.41950113378698,0.5,3/4,.,1,7,0
A5,10054.240362811792,10216.780045351474,162.53968253968196,0.5,3/4,x,1,7,0
G♯5,10216.780045351474,10448.979591836734,232.19954648526073,0.5,3/4,x,1,7,0
F♯5,10448.979591836734,10681.179138321995,232.19954648526073,0.5,3/4,x,1,7,0
E5,10681.179138321995,11052.698412698413,371.51927437641825,0.5,3/4,x,1,8,0
G♯4,11052.698412698413,11215.238095238095,162.53968253968196,0.5,3/4,x,1,8,0
A4,11215.238095238095,11470.657596371882,255.41950113378698,0.5,3/4,x,1,8,0
E5,11470.657596371882,11656.417233560092,185.75963718821004,0.5,3/4,x,1,8,0
F♯5,11656.417233560092,11865.396825396825,208.97959183673265,0.5,3/4,x,1,8,0
C♯5,11865.396825396825,12074.376417233561,208.9795918367363,0.5,3/4,x,1,8,0
D5,12074.376417233561,12306.57596371882,232.1995464852589,0.5,3/4,x,1,9,0
F♯4,12306.57596371882,12492.33560090703,185.75963718821004,0.5,3/4,x,1,9,0
G♯4,12492.33560090703,12910.2947845805,417.95918367346894,0.5,3/4,x,1,9,0
D5,12910.2947845805,12933.514739229026,23.219954648526254,0.5,3/4,x,1,9,0
E5,12933.514739229026,13328.253968253968,394.7392290249427,0.5,3/4,x,1,9,0
D5,13328.253968253968,13722.993197278913,394.7392290249445,0.5,3/4,x,1,9,0
C♯5,13722.993197278913,13792.65306122449,69.65986394557694,1.0,3/4,x,1,10,0
0,13792.65306122449,13839.092970521542,46.43990929705251,0.5,3/4,.,1,10,0
C♯5,13839.092970521542,14698.231292517006,859.1383219954641,0.5,3/4,x,1,10,0
B4,14698.231292517006,14721.451247165533,23.219954648526254,0.5,3/4,x,1,10,0
A4,14721.451247165533,14907.21088435374,185.75963718820822,0.5,3/4,x,1,10,0
B4,14907.21088435374,15185.850340136054,278.63945578231323,0.5,3/4,x,1,11,0
D♯5,15185.850340136054,15371.609977324264,185.75963718821004,0.5,3/4,x,1,11,0
E5,15371.609977324264,15557.369614512472,185.75963718820822,0.5,3/4,x,1,11,0
G♯5,15557.369614512472,15789.569160997733,232.19954648526073,0.5,3/4,x,1,11,0
C♯5,15789.569160997733,16161.088435374151,371.51927437641825,0.5,3/4,x,1,11,0
B4,16161.088435374151,16207.528344671204,46.43990929705251,0.5,3/4,x,1,11,0
A4,16207.528344671204,16486.167800453513,278.6394557823096,0.5,3/4,x,1,12,0
E5,16486.167800453513,16648.707482993195,162.53968253968196,0.5,3/4,x,1,12,0
D♯5,16648.707482993195,16904.126984126986,255.41950113379062,0.5,3/4,x,1,12,0
F♯5,16904.126984126986,17066.666666666668,162.53968253968196,0.5,3/4,x,1,12,0
B4,17066.666666666668,17345.30612244898,278.6394557823114,0.5,3/4,x,1,12,0
A4,17345.30612244898,18552.743764172334,1207.4376417233543,0.5,3/4,x,1,12,0
G♯4,18552.743764172334,18575.96371882086,23.219954648528073,1.0,3/4,x,1,13,0
0,18575.96371882086,18599.183673469386,23.219954648524435,0.5,3/4,.,1,13,0
E5,18599.183673469386,18784.943310657596,185.75963718821004,0.5,3/4,u,1,13,0
C♯5,18784.943310657596,19063.58276643991,278.63945578231505,0.5,3/4,u,1,13,0
E5,19063.58276643991,19272.562358276646,208.97959183673447,0.5,3/4,u,1,13,0
F♯5,19272.562358276646,19806.621315192744,534.0589569160984,0.5,3/4,u,1,14,0
A4,19806.621315192744,19829.841269841272,23.219954648528073,0.5,3/4,t,1,14,0
D4,19829.841269841272,20038.820861678003,208.97959183673083,0.5,3/4,b,1,14,0
C♯5,20038.820861678003,20224.580498866213,185.75963718821004,0.5,3/4,m,1,14,0
B4,20224.580498866213,20456.780045351476,232.19954648526254,0.5,3/4,m,1,14,0
A5,20456.780045351476,20735.419501133787,278.6394557823114,0.5,3/4,u,1,14,0
G♯5,20735.419501133787,20990.839002267574,255.41950113378698,0.5,3/4,u,1,15,0
B4,20990.839002267574,21176.598639455784,185.75963718821004,0.5,3/4,m,1,15,0
E4,21176.598639455784,21385.578231292515,208.97959183673083,0.5,3/4,B,1,15,0
D5,21385.578231292515,21617.777777777777,232.19954648526254,0.5,3/4,m,1,15,0
C♯5,21617.777777777777,21849.977324263036,232.1995464852589,0.5,3/4,m,1,15,0
B5,21849.977324263036,22058.956916099774,208.9795918367381,0.5,3/4,u,1,15,0
A5,22058.956916099774,22314.37641723356,255.41950113378698,0.5,3/4,u,1,16,0
C♯5,22314.37641723356,22569.79591836735,255.41950113378698,0.5,3/4,m,1,16,0
F♯4,22569.79591836735,22941.315192743765,371.51927437641643,0.5,3/4,B,1,16,0
E5,22941.315192743765,22964.53514739229,23.219954648524435,0.5,3/4,m,1,16,0
D5,22964.53514739229,23196.73469387755,232.19954648526254,0.5,3/4,m,1,16,0
C♯6,23196.73469387755,23405.714285714286,208.97959183673447,0.5,3/4,u,1,16,0
