Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movement,Measure,Repeated
0,0,2159.455782312925,2159.455782312925,0,0,.,x,x,.
G4,2159.455782312925,2484.53514739229,325.0793650793653,0.25,4/4,b,1,1,0
B4,2484.53514739229,2693.514739229025,208.97959183673493,0.25,4/4,x,1,1,0
D5,2693.514739229025,2856.0544217687075,162.53968253968242,0.25,4/4,x,1,1,0
B4,2856.0544217687075,2995.374149659864,139.31972789115662,0.25,4/4,x,1,1,0
D5,2995.374149659864,3134.6938775510203,139.31972789115616,0.25,4/4,x,1,1,0
B4,3134.6938775510203,3274.013605442177,139.31972789115662,0.25,4/4,x,1,1,0
D5,3274.013605442177,3390.1133786848072,116.09977324263036,0.25,4/4,x,1,1,0
B4,3390.1133786848072,3529.433106575964,139.31972789115662,0.25,4/4,x,1,1,0
G4,3529.433106575964,3808.0725623582766,278.6394557823128,0.25,4/4,b,1,1,0
C5,3808.0725623582766,3993.8321995464853,185.75963718820867,0.25,4/4,x,1,1,0
E5,3993.8321995464853,4109.931972789115,116.09977324262991,0.25,4/4,x,1,1,0
C5,4109.931972789115,4295.691609977324,185.75963718820913,0.25,4/4,x,1,1,0
E5,4295.691609977324,4342.131519274377,46.43990929705251,0.25,4/4,x,1,1,0
C5,4342.131519274377,4458.231292517006,116.09977324262945,0.25,4/4,x,1,1,0
E5,4458.231292517006,4620.770975056689,162.53968253968287,0.25,4/4,x,1,1,0
C5,4620.770975056689,4736.8707482993195,116.09977324263036,0.25,4/4,x,1,1,0
G4,4736.8707482993195,4945.850340136055,208.97959183673538,0.25,4/4,b,1,2,0
B4,4945.850340136055,5131.609977324263,185.75963718820822,0.25,4/4,x,1,2,0
D5,5131.609977324263,5247.7097505668935,116.09977324263036,0.25,4/4,x,1,2,0
B4,5247.7097505668935,5363.809523809524,116.09977324263036,0.25,4/4,x,1,2,0
G4,5363.809523809524,5549.569160997732,185.75963718820822,0.25,4/4,B,1,2,0
D5,5549.569160997732,5665.668934240362,116.09977324263036,0.25,4/4,x,1,2,0
G5,5665.668934240362,5804.988662131519,139.31972789115662,0.25,4/4,x,1,2,0
D5,5804.988662131519,5921.088435374149,116.09977324263036,0.25,4/4,x,1,2,0
G4,5921.088435374149,6037.188208616781,116.09977324263127,0.25,4/4,b,1,2,0
B4,6037.188208616781,6153.28798185941,116.09977324262945,0.25,4/4,x,1,2,0
D5,6153.28798185941,6269.3877551020405,116.09977324263036,0.25,4/4,x,1,2,0
B4,6269.3877551020405,6408.707482993197,139.31972789115662,0.25,4/4,x,1,2,0
G4,6408.707482993197,6548.027210884354,139.31972789115662,0.25,4/4,b,1,2,0
C5,6548.027210884354,6664.126984126984,116.09977324263036,0.25,4/4,x,1,2,0
E5,6664.126984126984,6757.006802721088,92.87981859410411,0.25,4/4,x,1,2,0
C5,6757.006802721088,6896.326530612245,139.31972789115662,0.25,4/4,x,1,2,0
G4,6896.326530612245,7082.086167800454,185.75963718820913,0.25,4/4,b,1,3,0
B4,7082.086167800454,7221.40589569161,139.3197278911557,0.25,4/4,x,1,3,0
D5,7221.40589569161,7291.065759637188,69.65986394557876,0.25,4/4,x,1,3,0
B4,7291.065759637188,7453.60544217687,162.53968253968196,0.25,4/4,x,1,3,0
G4,7453.60544217687,7592.925170068027,139.31972789115662,0.25,4/4,B,1,3,0
D5,7592.925170068027,7709.024943310657,116.09977324263036,0.25,4/4,x,1,3,0
G5,7709.024943310657,7848.344671201814,139.31972789115662,0.25,4/4,x,1,3,0
D5,7848.344671201814,7918.004535147392,69.65986394557785,0.25,4/4,x,1,3,0
G4,7918.004535147392,8103.764172335602,185.75963718821004,0.25,4/4,b,1,3,0
B4,8103.764172335602,8219.86394557823,116.09977324262854,0.25,4/4,x,1,3,0
D5,8219.86394557823,8289.52380952381,69.65986394557876,0.25,4/4,x,1,3,0
B4,8289.52380952381,8452.063492063493,162.53968253968378,0.25,4/4,x,1,3,0
G4,8452.063492063493,8568.163265306122,116.09977324262945,0.25,4/4,b,1,3,0
C5,8568.163265306122,8684.263038548754,116.09977324263127,0.25,4/4,x,1,3,0
E5,8684.263038548754,8777.142857142857,92.8798185941032,0.25,4/4,x,1,3,0
C5,8777.142857142857,8893.242630385486,116.09977324262945,0.25,4/4,x,1,3,0
G4,8893.242630385486,9055.78231292517,162.53968253968378,0.25,4/4,b,1,4,0
B4,9055.78231292517,9171.8820861678,116.09977324262945,0.25,4/4,x,1,4,0
D5,9171.8820861678,9287.98185941043,116.09977324263127,0.25,4/4,x,1,4,0
B4,9287.98185941043,9450.521541950113,162.53968253968196,0.25,4/4,x,1,4,0
F♯4,9450.521541950113,9636.281179138323,185.75963718821004,0.25,4/4,x,1,4,0
A4,9636.281179138323,9752.380952380954,116.09977324263127,0.25,4/4,x,1,4,0
C5,9752.380952380954,9845.260770975055,92.87981859410138,0.25,4/4,x,1,4,0
A4,9845.260770975055,10007.80045351474,162.53968253968378,0.25,4/4,x,1,4,0
G4,10007.80045351474,10263.219954648526,255.41950113378698,0.25,4/4,x,1,4,0
A4,10263.219954648526,10402.539682539682,139.3197278911557,0.25,4/4,x,1,4,0
B4,10402.539682539682,11029.478458049887,626.9387755102052,0.5,4/4,x,1,4,0
0,11029.478458049887,12213.696145124717,1184.2176870748299,1.0,4/4,.,1,4,0
D5,12213.696145124717,12515.555555555557,301.8594104308395,0.25,4/4,b,1,5,0
F♯5,12515.555555555557,12678.095238095239,162.53968253968196,0.25,4/4,x,1,5,0
A5,12678.095238095239,12863.854875283447,185.75963718820822,0.25,4/4,x,1,5,0
F♯5,12863.854875283447,13049.614512471655,185.75963718820822,0.25,4/4,x,1,5,0
A5,13049.614512471655,13258.59410430839,208.97959183673447,0.25,4/4,x,1,5,0
F♯5,13258.59410430839,13305.034013605444,46.43990929705433,0.25,4/4,x,1,5,0
A5,13305.034013605444,13444.3537414966,139.3197278911557,0.25,4/4,x,1,5,0
F♯5,13444.3537414966,13514.013605442176,69.65986394557694,0.25,4/4,x,1,5,0
D5,13514.013605442176,13815.873015873016,301.8594104308395,0.25,4/4,b,1,5,0
G5,13815.873015873016,13955.192743764172,139.3197278911557,0.25,4/4,x,1,5,0
B5,13955.192743764172,14094.512471655327,139.3197278911557,0.25,4/4,x,1,5,0
G5,14094.512471655327,14233.832199546485,139.31972789115753,0.25,4/4,x,1,5,0
B5,14233.832199546485,14373.15192743764,139.3197278911557,0.25,4/4,x,1,5,0
G5,14373.15192743764,14489.251700680272,116.09977324263127,0.25,4/4,x,1,5,0
B5,14489.251700680272,14605.351473922903,116.09977324263127,0.25,4/4,x,1,5,0
G5,14605.351473922903,14744.671201814059,139.3197278911557,0.25,4/4,x,1,5,0
D5,14744.671201814059,14976.87074829932,232.19954648526073,0.25,4/4,b,1,6,0
F♯5,14976.87074829932,15069.750566893425,92.87981859410502,0.25,4/4,x,1,6,0
A5,15069.750566893425,15255.510204081633,185.75963718820822,0.25,4/4,x,1,6,0
F♯5,15255.510204081633,15371.609977324264,116.09977324263127,0.25,4/4,x,1,6,0
D5,15371.609977324264,15534.149659863946,162.53968253968196,0.25,4/4,b,1,6,0
A5,15534.149659863946,15673.469387755102,139.3197278911557,0.25,4/4,x,1,6,0
D6,15673.469387755102,15766.349206349207,92.87981859410502,0.25,4/4,x,1,6,0
A5,15766.349206349207,15928.888888888889,162.53968253968196,0.25,4/4,x,1,6,0
D5,15928.888888888889,16044.98866213152,116.09977324263127,0.25,4/4,b,1,6,0
F♯5,16044.98866213152,16137.868480725621,92.87981859410138,0.25,4/4,x,1,6,0
A5,16137.868480725621,16277.18820861678,139.31972789115935,0.25,4/4,x,1,6,0
F♯5,16277.18820861678,16370.068027210884,92.8798185941032,0.25,4/4,x,1,6,0
D5,16370.068027210884,16509.38775510204,139.31972789115753,0.25,4/4,b,1,6,0
G5,16509.38775510204,16625.48752834467,116.09977324262945,0.25,4/4,x,1,6,0
B5,16625.48752834467,16741.5873015873,116.09977324262945,0.25,4/4,x,1,6,0
G5,16741.5873015873,16857.687074829933,116.09977324263309,0.25,4/4,x,1,6,0
D5,16857.687074829933,17066.666666666668,208.97959183673447,0.25,4/4,b,1,7,0
F♯5,17066.666666666668,17136.326530612245,69.65986394557694,0.25,4/4,x,1,7,0
A5,17136.326530612245,17275.6462585034,139.3197278911539,0.25,4/4,x,1,7,0
F♯5,17275.6462585034,17345.30612244898,69.65986394558058,0.25,4/4,x,1,7,0
D5,17345.30612244898,17507.84580498866,162.53968253968196,0.25,4/4,b,1,7,0
A5,17507.84580498866,17670.385487528347,162.5396825396856,0.25,4/4,x,1,7,0
D6,17670.385487528347,17740.045351473924,69.65986394557694,0.25,4/4,x,1,7,0
A5,17740.045351473924,17902.585034013606,162.53968253968196,0.25,4/4,x,1,7,0
D5,17902.585034013606,18018.684807256235,116.09977324262945,0.25,4/4,b,1,7,0
F♯5,18018.684807256235,18111.56462585034,92.87981859410502,0.25,4/4,x,1,7,0
A5,18111.56462585034,18274.104308390022,162.53968253968196,0.25,4/4,x,1,7,0
F♯5,18274.104308390022,18366.984126984127,92.87981859410502,0.25,4/4,x,1,7,0
D5,18366.984126984127,18575.96371882086,208.97959183673447,0.25,4/4,b,1,7,0
G5,18575.96371882086,18622.403628117914,46.43990929705251,0.25,4/4,x,1,7,0
B5,18622.403628117914,18715.28344671202,92.87981859410502,0.25,4/4,x,1,7,0
G5,18715.28344671202,18854.603174603173,139.3197278911539,0.25,4/4,x,1,7,0
D5,18854.603174603173,19063.58276643991,208.9795918367381,0.25,4/4,b,1,8,0
F♯5,19063.58276643991,19179.682539682537,116.09977324262582,0.25,4/4,x,1,8,0
A5,19179.682539682537,19249.342403628118,69.65986394558058,0.25,4/4,x,1,8,0
F♯5,19249.342403628118,19388.662131519275,139.31972789115753,0.25,4/4,x,1,8,0
C♯5,19388.662131519275,19620.861678004534,232.1995464852589,0.25,4/4,x,1,8,0
E5,19620.861678004534,19713.74149659864,92.87981859410502,0.25,4/4,x,1,8,0
G5,19713.74149659864,19945.941043083898,232.1995464852589,0.25,4/4,x,1,8,0
E5,19945.941043083898,19969.160997732426,23.219954648528073,0.25,4/4,x,1,8,0
D5,19969.160997732426,20201.360544217685,232.1995464852589,0.25,4/4,b,1,8,0
E5,20201.360544217685,20363.90022675737,162.5396825396856,0.25,4/4,x,1,8,0
F♯5,20363.90022675737,20828.29931972789,464.3990929705178,0.5,4/4,x,1,8,0
0,20828.29931972789,21292.698412698413,464.3990929705251,0.25,4/4,.,1,8,0
F♯5,21292.698412698413,21501.678004535148,208.97959183673447,0.25,4/4,x,1,8,0
G5,21501.678004535148,21571.337868480725,69.65986394557694,0.25,4/4,x,1,8,0
A5,21571.337868480725,21757.097505668935,185.75963718821004,0.25,4/4,x,1,8,0
B5,21757.097505668935,22105.396825396827,348.299319727892,0.25,4/4,x,1,9,0
G4,22105.396825396827,22314.37641723356,208.97959183673447,0.25,4/4,B,1,9,0
F♯4,22314.37641723356,22430.47619047619,116.09977324262945,0.25,4/4,B,1,9,0
G4,22430.47619047619,22593.015873015873,162.53968253968196,0.25,4/4,B,1,9,0
B5,22593.015873015873,22778.775510204083,185.75963718821004,0.25,4/4,x,1,9,0
G5,22778.775510204083,22848.43537414966,69.65986394557694,0.25,4/4,x,1,9,0
B5,22848.43537414966,23010.97505668934,162.53968253968196,0.25,4/4,x,1,9,0
G5,23010.97505668934,23150.2947845805,139.31972789115753,0.25,4/4,x,1,9,0
C5,23150.2947845805,23359.274376417234,208.97959183673447,0.25,4/4,x,1,9,0
