Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movement,Measure,Repeated
0,0,14953.650793650795,14953.650793650795,0,0,.,x,x,.
D4,14953.650793650795,15998.548752834466,1044.8979591836705,1.5,4/4,x,1,1,0
D5,15998.548752834466,16277.18820861678,278.63945578231505,0.25,4/4,x,1,1,0
E5,16277.18820861678,17623.945578231294,1346.7573696145137,0.25,4/4,x,1,1,0
E5,17623.945578231294,17647.16553287982,23.219954648524435,1.5,4/4,x,1,1,0
D5,17647.16553287982,19086.802721088436,1439.6371882086169,0.25,4/4,x,1,1,0
E5,19086.802721088436,19110.02267573696,23.219954648524435,0.25,4/4,x,1,1,0
D4,19110.02267573696,19133.242630385488,23.219954648528073,1.5,4/4,x,1,2,0
F♯5,19133.242630385488,19156.462585034013,23.219954648524435,0.25,4/4,x,1,2,0
G5,19156.462585034013,19179.682539682537,23.219954648524435,0.25,4/4,x,1,2,0
G5,19179.682539682537,19202.902494331065,23.219954648528073,1.5,4/4,x,1,2,0
F♯5,19202.902494331065,19319.0022675737,116.09977324263309,0.25,4/4,x,1,2,0
G5,19319.0022675737,19388.662131519275,69.65986394557694,0.25,4/4,x,1,2,0
D4,19388.662131519275,19411.8820861678,23.219954648524435,1.0,4/4,x,1,3,0
A5,19411.8820861678,22360.816326530614,2948.9342403628143,0.75,4/4,x,1,3,0
F♯4,22360.816326530614,22500.13605442177,139.31972789115753,0.25,4/4,B,1,3,0
G5,22500.13605442177,23219.954648526076,719.8185941043048,0.75,4/4,x,1,3,0
E4,23219.954648526076,23243.1746031746,23.219954648524435,0.25,4/4,B,1,3,0
F♯5,23243.1746031746,23846.89342403628,603.718820861679,0.75,4/4,x,1,3,0
D4,23846.89342403628,24009.433106575965,162.5396825396856,0.25,4/4,B,1,3,0
E5,24009.433106575965,24822.131519274375,812.6984126984098,1.0,4/4,x,1,4,0
A4,24822.131519274375,25565.17006802721,743.0385487528365,1.0,4/4,x,1,4,0
0,25565.17006802721,25797.369614512474,232.19954648526254,0.125,4/4,.,1,4,0
A4,25797.369614512474,25936.689342403628,139.3197278911539,0.125,4/4,x,1,4,0
B4,25936.689342403628,26029.56916099773,92.87981859410138,0.125,4/4,x,1,4,0
C♯5,26029.56916099773,26099.22902494331,69.65986394558058,0.125,4/4,x,1,4,0
D5,26099.22902494331,26215.32879818594,116.09977324262945,0.125,4/4,x,1,4,0
E5,26215.32879818594,26261.768707482992,46.43990929705251,0.125,4/4,x,1,4,0
F♯5,26261.768707482992,26354.648526077097,92.87981859410502,0.125,4/4,x,1,4,0
G5,26354.648526077097,26424.308390022677,69.65986394558058,0.125,4/4,x,1,4,0
A5,26424.308390022677,27028.027210884353,603.7188208616753,0.75,4/4,x,1,4,0
G5,27028.027210884353,27167.34693877551,139.31972789115753,0.25,4/4,x,1,4,0
F♯5,27167.34693877551,27817.505668934242,650.1587301587315,0.75,4/4,x,1,5,0
C♯5,27817.505668934242,27956.8253968254,139.31972789115753,0.25,4/4,x,1,5,0
D5,27956.8253968254,28769.523809523813,812.6984126984134,1.0,4/4,x,1,5,0
0,28769.523809523813,28792.743764172337,23.219954648524435,0.125,4/4,.,1,5,0
B4,28792.743764172337,28885.62358276644,92.87981859410138,0.125,4/4,x,1,5,0
C♯5,28885.62358276644,29001.723356009068,116.09977324262945,0.125,4/4,x,1,5,0
D5,29001.723356009068,29071.38321995465,69.65986394558058,0.125,4/4,x,1,5,0
E5,29071.38321995465,29117.8231292517,46.43990929705251,0.125,4/4,x,1,5,0
F♯5,29117.8231292517,29187.482993197278,69.65986394557694,0.125,4/4,x,1,5,0
G5,29187.482993197278,29233.92290249433,46.43990929705251,0.125,4/4,x,1,5,0
A5,29233.92290249433,29303.582766439908,69.65986394557694,0.125,4/4,x,1,5,0
B5,29303.582766439908,29930.521541950115,626.938775510207,0.75,4/4,x,1,5,0
A5,29930.521541950115,30046.621315192744,116.09977324262945,0.25,4/4,x,1,5,0
G♯5,30046.621315192744,30673.56009070295,626.938775510207,0.75,4/4,x,1,6,0
D♯5,30673.56009070295,30789.659863945577,116.09977324262582,0.25,4/4,x,1,6,0
E5,30789.659863945577,31973.877551020407,1184.2176870748299,1.0,4/4,x,1,6,0
0,31973.877551020407,32229.297052154194,255.41950113378698,0.75,4/4,.,1,6,0
B4,32229.297052154194,32368.61678004535,139.31972789115753,0.25,4/4,x,1,6,0
C♯5,32368.61678004535,32995.555555555555,626.9387755102034,0.75,4/4,x,1,6,0
G♯4,32995.555555555555,33134.87528344671,139.3197278911539,0.25,4/4,x,1,6,0
A4,33134.87528344671,33738.59410430839,603.718820861679,0.75,4/4,x,1,7,0
A4,33738.59410430839,33761.814058956916,23.219954648528073,0.08333333333333333,4/4,x,1,7,0
B4,33761.814058956916,33831.4739229025,69.65986394558422,0.08333333333333333,4/4,x,1,7,0
C♯5,33831.4739229025,33924.3537414966,92.87981859409774,0.08333333333333333,4/4,x,1,7,0
F♯4,33924.3537414966,34528.07256235828,603.718820861679,0.75,4/4,x,1,7,0
F♯4,34528.07256235828,34551.2925170068,23.219954648520797,0.08333333333333333,4/4,x,1,7,0
G4,34551.2925170068,34597.73242630385,46.43990929705615,0.08333333333333333,4/4,x,1,7,0
A4,34597.73242630385,34690.61224489796,92.87981859410502,0.08333333333333333,4/4,x,1,7,0
D4,34690.61224489796,35363.990929705215,673.3786848072559,0.75,4/4,B,1,7,0
C♯5,35363.990929705215,35503.310657596376,139.31972789116116,0.25,4/4,x,1,7,0
D5,35503.310657596376,36107.029478458055,603.718820861679,0.75,4/4,x,1,7,0
A♯4,36107.029478458055,36223.12925170068,116.09977324262582,0.25,4/4,x,1,7,0
B4,36223.12925170068,36803.62811791383,580.4988662131509,0.75,4/4,x,1,8,0
B4,36803.62811791383,36826.84807256236,23.219954648528073,0.08333333333333333,4/4,x,1,8,0
C♯5,36826.84807256236,36919.727891156464,92.87981859410502,0.08333333333333333,4/4,x,1,8,0
D5,36919.727891156464,37059.04761904762,139.3197278911539,0.08333333333333333,4/4,x,1,8,0
G♯4,37059.04761904762,37546.666666666664,487.6190476190459,0.75,4/4,x,1,8,0
G♯4,37546.666666666664,37569.88662131519,23.219954648528073,0.08333333333333333,4/4,x,1,8,0
A4,37569.88662131519,37639.54648526078,69.65986394558422,0.08333333333333333,4/4,x,1,8,0
B4,37639.54648526078,37732.426303854874,92.87981859409774,0.08333333333333333,4/4,x,1,8,0
E4,37732.426303854874,38359.365079365074,626.9387755101998,0.75,4/4,B,1,8,0
D♯5,38359.365079365074,38545.12471655329,185.7596371882173,0.25,4/4,x,1,8,0
E5,38545.12471655329,39148.84353741497,603.718820861679,0.75,4/4,x,1,8,0
B4,39148.84353741497,39311.38321995465,162.53968253968196,0.25,4/4,x,1,8,0
C♯5,39311.38321995465,39891.882086167796,580.4988662131436,0.75,4/4,x,1,9,0
A4,39891.882086167796,40077.641723356006,185.75963718821004,0.25,4/4,x,1,9,0
F♯5,40077.641723356006,40960.0,882.358276643994,1.0,4/4,x,1,9,0
G♯4,40960.0,41494.0589569161,534.058956916102,0.75,4/4,x,1,9,0
B4,41494.0589569161,41679.81859410431,185.75963718821004,0.25,4/4,x,1,9,0
E5,41679.81859410431,42283.537414965984,603.7188208616717,0.75,4/4,x,1,9,0
E4,42283.537414965984,42422.85714285714,139.3197278911539,0.25,4/4,B,1,9,0
F♯4,42422.85714285714,43073.01587301587,650.1587301587351,0.75,4/4,x,1,10,0
A4,43073.01587301587,43281.9954648526,208.97959183673083,0.25,4/4,x,1,10,0
D5,43281.9954648526,44117.91383219955,835.9183673469452,1.0,4/4,x,1,10,0
E4,44117.91383219955,44721.63265306123,603.718820861679,0.75,4/4,x,1,10,0
G♯4,44721.63265306123,44884.17233560091,162.53968253968196,0.25,4/4,x,1,10,0
C♯5,44884.17233560091,45534.33106575964,650.1587301587278,0.75,4/4,x,1,10,0
E4,45534.33106575964,45743.310657596376,208.9795918367381,0.25,4/4,x,1,10,0
D4,45743.310657596376,46370.24943310658,626.938775510207,0.75,4/4,B,1,11,0
C♯5,46370.24943310658,46672.10884353742,301.85941043083585,0.25,4/4,x,1,11,0
B4,46672.10884353742,47182.94784580499,510.83900226757396,0.75,4/4,x,1,11,0
A4,47182.94784580499,47345.48752834467,162.5396825396747,0.25,4/4,x,1,11,0
D♯4,47345.48752834467,47902.7664399093,557.2789115646301,0.75,4/4,x,1,11,0
B4,47902.7664399093,48738.684807256235,835.9183673469379,0.25,4/4,x,1,11,0
A4,48738.684807256235,48761.904761904756,23.219954648520797,0.75,4/4,x,1,11,0
F♯5,48761.904761904756,49621.04308390023,859.1383219954732,0.25,4/4,x,1,11,0
