Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movement,Measure,Repeated
0,0,1486.077097505669,1486.077097505669,0,0,.,x,x,.
E5,1486.077097505669,2809.614512471655,1323.537414965986,0.5,4/4,u,1,1,0
E4,2809.614512471655,3274.013605442177,464.3990929705219,0.25,4/4,B,1,1,0
F♯4,3274.013605442177,3575.873015873016,301.85941043083903,0.25,4/4,B,1,1,0
G4,3575.873015873016,4063.492063492063,487.61904761904725,0.25,4/4,b,1,1,0
E5,4063.492063492063,4551.111111111111,487.61904761904816,0.25,4/4,u,1,1,0
A4,4551.111111111111,4783.310657596372,232.19954648526073,0.25,4/4,b,1,1,0
E5,4783.310657596372,5201.269841269841,417.95918367346894,0.25,4/4,u,1,1,0
B4,5201.269841269841,5851.428571428572,650.1587301587306,0.25,4/4,b,1,1,0
E5,5851.428571428572,6362.267573696145,510.83900226757305,0.25,4/4,u,1,1,0
D♯5,6362.267573696145,7662.585034013605,1300.3174603174602,0.5,4/4,u,1,1,0
0,7662.585034013605,8591.383219954649,928.7981859410438,0.5,4/4,.,1,1,0
D♯5,8591.383219954649,9009.342403628118,417.95918367346894,0.25,4/4,x,1,1,0
E5,9009.342403628118,9450.521541950113,441.1791383219952,0.25,4/4,x,1,1,0
F♯5,9450.521541950113,10031.020408163266,580.4988662131527,0.25,4/4,x,1,2,0
B4,10031.020408163266,10356.099773242631,325.07936507936574,0.25,4/4,b,1,2,0
A4,10356.099773242631,10913.378684807256,557.2789115646247,0.25,4/4,b,1,2,0
C6,10913.378684807256,11308.1179138322,394.7392290249445,0.25,4/4,u,1,2,0
G4,11308.1179138322,11726.07709750567,417.95918367346894,0.25,4/4,B,1,2,0
B5,11726.07709750567,12027.936507936507,301.85941043083767,0.25,4/4,u,1,2,0
F♯4,12027.936507936507,12353.015873015875,325.07936507936756,0.25,4/4,B,1,2,0
A5,12353.015873015875,12794.195011337868,441.1791383219934,0.25,4/4,u,1,2,0
E4,12794.195011337868,13444.3537414966,650.1587301587315,0.25,4/4,B,1,2,0
G5,13444.3537414966,13583.673469387755,139.3197278911557,0.125,4/4,u,1,2,0
F♯5,13583.673469387755,13815.873015873016,232.19954648526073,0.125,4/4,u,1,2,0
E5,13815.873015873016,14326.71201814059,510.83900226757396,0.5,4/4,u,1,2,0
0,14326.71201814059,15719.909297052154,1393.1972789115644,0.25,4/4,.,1,2,0
F♯5,15719.909297052154,16161.088435374151,441.179138321997,0.25,4/4,x,1,2,0
G5,16161.088435374151,16416.507936507936,255.41950113378516,0.25,4/4,x,1,2,0
B4,16416.507936507936,16834.467120181405,417.95918367346894,0.25,4/4,x,1,2,0
C5,16834.467120181405,17345.30612244898,510.83900226757396,0.25,4/4,x,1,3,0
A5,17345.30612244898,17740.045351473924,394.7392290249445,0.25,4/4,x,1,3,0
F♯5,17740.045351473924,18065.124716553288,325.0793650793639,0.25,4/4,x,1,3,0
G5,18065.124716553288,18390.20408163265,325.0793650793639,0.25,4/4,x,1,3,0
B4,18390.20408163265,18808.163265306124,417.9591836734726,0.25,4/4,x,1,3,0
D6,18808.163265306124,19272.562358276646,464.39909297052145,0.25,4/4,x,1,3,0
F♯5,19272.562358276646,19574.421768707485,301.8594104308395,0.25,4/4,x,1,3,0
G5,19574.421768707485,19945.941043083898,371.5192743764128,0.25,4/4,x,1,3,0
C5,19945.941043083898,20503.219954648524,557.2789115646265,0.25,4/4,x,1,3,0
A5,20503.219954648524,20897.95918367347,394.7392290249445,0.25,4/4,x,1,3,0
F♯5,20897.95918367347,21199.81859410431,301.8594104308395,0.25,4/4,x,1,3,0
G5,21199.81859410431,21524.897959183672,325.0793650793639,0.25,4/4,x,1,3,0
B4,21524.897959183672,21919.637188208617,394.7392290249445,0.25,4/4,x,1,3,0
D6,21919.637188208617,22360.816326530614,441.179138321997,0.25,4/4,x,1,3,0
F♯5,22360.816326530614,22755.555555555555,394.73922902494087,0.25,4/4,x,1,3,0
G5,22755.555555555555,23359.274376417234,603.718820861679,0.25,4/4,x,1,3,0
A4,23359.274376417234,23986.213151927437,626.9387755102034,0.25,4/4,B,1,4,0
C6,23986.213151927437,24497.05215419501,510.83900226757396,0.25,4/4,x,1,4,0
F♯4,24497.05215419501,24868.571428571428,371.51927437641643,0.25,4/4,B,1,4,0
C6,24868.571428571428,25193.65079365079,325.0793650793639,0.25,4/4,x,1,4,0
G4,25193.65079365079,25518.73015873016,325.07936507936756,0.25,4/4,B,1,4,0
