Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movement,Measure,Repeated
0,0,580.4988662131519,580.4988662131519,0,0,.,x,x,.
E5,580.4988662131519,1532.5170068027212,952.0181405895693,0.5,4/4,u,1,1,0
E4,1532.5170068027212,1950.4761904761904,417.95918367346917,0.25,4/4,B,1,1,0
F♯4,1950.4761904761904,2321.9954648526077,371.51927437641734,0.25,4/4,B,1,1,0
G4,2321.9954648526077,2670.294784580499,348.2993197278911,0.25,4/4,b,1,1,0
E5,2670.294784580499,3111.473922902494,441.1791383219952,0.25,4/4,u,1,1,0
A4,3111.473922902494,3413.3333333333335,301.8594104308395,0.25,4/4,b,1,1,0
E5,3413.3333333333335,3808.0725623582766,394.73922902494314,0.25,4/4,u,1,1,0
B4,3808.0725623582766,4156.371882086168,348.2993197278911,0.25,4/4,b,1,1,0
E5,4156.371882086168,4643.990929705215,487.6190476190477,0.25,4/4,u,1,1,0
D♯5,4643.990929705215,5433.469387755103,789.4784580498872,0.5,4/4,u,1,1,0
0,5433.469387755103,5897.868480725624,464.39909297052145,0.5,4/4,.,1,1,0
D♯5,5897.868480725624,6315.827664399093,417.95918367346894,0.25,4/4,x,1,1,0
E5,6315.827664399093,6664.126984126984,348.2993197278911,0.25,4/4,x,1,1,0
F♯5,6664.126984126984,7035.646258503401,371.51927437641734,0.25,4/4,x,1,2,0
B4,7035.646258503401,7430.385487528345,394.7392290249436,0.25,4/4,b,1,2,0
A4,7430.385487528345,7732.244897959184,301.8594104308386,0.25,4/4,b,1,2,0
C6,7732.244897959184,8103.764172335602,371.51927437641825,0.25,4/4,u,1,2,0
G4,8103.764172335602,8544.943310657596,441.1791383219943,0.25,4/4,B,1,2,0
B5,8544.943310657596,8846.802721088436,301.8594104308395,0.25,4/4,u,1,2,0
F♯4,8846.802721088436,9218.321995464854,371.51927437641825,0.25,4/4,B,1,2,0
A5,9218.321995464854,9613.061224489797,394.7392290249427,0.25,4/4,u,1,2,0
E4,9613.061224489797,9984.580498866213,371.51927437641643,0.25,4/4,B,1,2,0
G5,9984.580498866213,10123.900226757369,139.3197278911557,0.125,4/4,u,1,2,0
F♯5,10123.900226757369,10332.879818594105,208.9795918367363,0.125,4/4,u,1,2,0
E5,10332.879818594105,11308.1179138322,975.2380952380954,0.5,4/4,u,1,2,0
0,11308.1179138322,11586.757369614512,278.6394557823114,0.25,4/4,.,1,2,0
F♯5,11586.757369614512,12027.936507936507,441.1791383219952,0.25,4/4,x,1,2,0
G5,12027.936507936507,12422.675736961452,394.7392290249445,0.25,4/4,x,1,2,0
B4,12422.675736961452,12794.195011337868,371.51927437641643,0.25,4/4,x,1,2,0
C5,12794.195011337868,13188.934240362812,394.7392290249445,0.25,4/4,x,1,3,0
A5,13188.934240362812,13490.79365079365,301.85941043083767,0.25,4/4,x,1,3,0
F♯5,13490.79365079365,13815.873015873016,325.07936507936574,0.25,4/4,x,1,3,0
G5,13815.873015873016,14164.172335600908,348.299319727892,0.25,4/4,x,1,3,0
B4,14164.172335600908,14512.471655328798,348.2993197278902,0.25,4/4,x,1,3,0
D6,14512.471655328798,14814.331065759638,301.8594104308395,0.25,4/4,x,1,3,0
F♯5,14814.331065759638,15139.410430839001,325.0793650793639,0.25,4/4,x,1,3,0
G5,15139.410430839001,15650.249433106575,510.83900226757396,0.25,4/4,x,1,3,0
C5,15650.249433106575,15928.888888888889,278.63945578231323,0.25,4/4,x,1,3,0
A5,15928.888888888889,16253.968253968253,325.0793650793639,0.25,4/4,x,1,3,0
F♯5,16253.968253968253,16602.267573696146,348.2993197278938,0.25,4/4,x,1,3,0
G5,16602.267573696146,16927.34693877551,325.0793650793639,0.25,4/4,x,1,3,0
B4,16927.34693877551,17275.6462585034,348.29931972788836,0.25,4/4,x,1,3,0
D6,17275.6462585034,17600.725623582766,325.07936507936756,0.25,4/4,x,1,3,0
F♯5,17600.725623582766,17972.244897959183,371.51927437641643,0.25,4/4,x,1,3,0
G5,17972.244897959183,18366.984126984127,394.7392290249445,0.25,4/4,x,1,3,0
A4,18366.984126984127,18854.603174603173,487.6190476190459,0.25,4/4,B,1,4,0
C6,18854.603174603173,19133.242630385488,278.63945578231505,0.25,4/4,x,1,4,0
